Training started for V3c
============================================================
Epoch 99: Train=0.002447, Val=0.000201, Data=0.002290, Phys=590.365238, Lambda=2.67e-07, LR=1.00e-05
Epoch 100: Train=0.002427, Val=0.000190, Data=0.002267, Phys=589.352073, Lambda=2.73e-07, LR=1.00e-05
Epoch 101: Train=0.002385, Val=0.000187, Data=0.002221, Phys=590.005652, Lambda=2.78e-07, LR=1.00e-05
Epoch 102: Train=0.002385, Val=0.000195, Data=0.002217, Phys=589.099810, Lambda=2.84e-07, LR=1.00e-05
Epoch 103: Train=0.002336, Val=0.000192, Data=0.002165, Phys=590.249255, Lambda=2.90e-07, LR=1.00e-05
Epoch 104: Train=0.002317, Val=0.000174, Data=0.002143, Phys=588.504592, Lambda=2.96e-07, LR=1.00e-05
Epoch 105: Train=0.002308, Val=0.000175, Data=0.002130, Phys=589.879406, Lambda=3.02e-07, LR=1.00e-05
Epoch 106: Train=0.002292, Val=0.000176, Data=0.002111, Phys=587.044236, Lambda=3.08e-07, LR=1.00e-05
Epoch 107: Train=0.002283, Val=0.000177, Data=0.002098, Phys=588.862516, Lambda=3.15e-07, LR=1.00e-05
Epoch 108: Train=0.002253, Val=0.000171, Data=0.002065, Phys=587.370600, Lambda=3.21e-07, LR=1.00e-05
Epoch 109: Train=0.002264, Val=0.000158, Data=0.002072, Phys=586.837128, Lambda=3.28e-07, LR=1.00e-05
Epoch 110: Train=0.002227, Val=0.000169, Data=0.002030, Phys=588.309381, Lambda=3.35e-07, LR=1.00e-05
Epoch 111: Train=0.002208, Val=0.000157, Data=0.002007, Phys=587.449223, Lambda=3.41e-07, LR=1.00e-05
Epoch 112: Train=0.002195, Val=0.000151, Data=0.001991, Phys=584.970079, Lambda=3.49e-07, LR=1.00e-05
Epoch 113: Train=0.002195, Val=0.000145, Data=0.001988, Phys=583.438852, Lambda=3.56e-07, LR=1.00e-05
Epoch 114: Train=0.002164, Val=0.000149, Data=0.001951, Phys=585.526378, Lambda=3.63e-07, LR=1.00e-05
Epoch 115: Train=0.002160, Val=0.000141, Data=0.001943, Phys=585.095413, Lambda=3.71e-07, LR=1.00e-05
Epoch 116: Train=0.002145, Val=0.000147, Data=0.001924, Phys=584.952005, Lambda=3.78e-07, LR=1.00e-05
Epoch 117: Train=0.002116, Val=0.000145, Data=0.001890, Phys=585.601853, Lambda=3.86e-07, LR=1.00e-05
Epoch 118: Train=0.002096, Val=0.000141, Data=0.001866, Phys=584.613401, Lambda=3.94e-07, LR=1.00e-05
Epoch 119: Train=0.002090, Val=0.000141, Data=0.001855, Phys=584.416819, Lambda=4.02e-07, LR=1.00e-05
Epoch 120: Train=0.002081, Val=0.000128, Data=0.001842, Phys=582.388173, Lambda=4.11e-07, LR=1.00e-05
Epoch 121: Train=0.002071, Val=0.000132, Data=0.001827, Phys=581.304427, Lambda=4.19e-07, LR=1.00e-05
Epoch 122: Train=0.002073, Val=0.000129, Data=0.001823, Phys=584.545196, Lambda=4.28e-07, LR=1.00e-05
Epoch 123: Train=0.002064, Val=0.000125, Data=0.001810, Phys=581.258628, Lambda=4.37e-07, LR=1.00e-05
Epoch 124: Train=0.002050, Val=0.000118, Data=0.001791, Phys=579.963456, Lambda=4.46e-07, LR=1.00e-05
Epoch 125: Train=0.002021, Val=0.000119, Data=0.001757, Phys=582.038783, Lambda=4.55e-07, LR=1.00e-05
Epoch 126: Train=0.002041, Val=0.000130, Data=0.001771, Phys=581.336178, Lambda=4.64e-07, LR=1.00e-05
Epoch 127: Train=0.002013, Val=0.000125, Data=0.001737, Phys=582.006239, Lambda=4.74e-07, LR=1.00e-05
Epoch 128: Train=0.002023, Val=0.000112, Data=0.001743, Phys=578.827640, Lambda=4.84e-07, LR=1.00e-05
