Training started for V3a_a_0_001
============================================================
Epoch 92: Train=0.000429, Val=0.000015, Data=0.000428, Phys=638.676755, Lambda=2.31e-09, LR=1.00e-04
Epoch 93: Train=0.000423, Val=0.000018, Data=0.000421, Phys=636.685647, Lambda=2.36e-09, LR=1.00e-04
Epoch 94: Train=0.000417, Val=0.000015, Data=0.000416, Phys=635.643032, Lambda=2.41e-09, LR=1.00e-04
Epoch 95: Train=0.000423, Val=0.000019, Data=0.000422, Phys=631.633639, Lambda=2.46e-09, LR=1.00e-04
Epoch 96: Train=0.000408, Val=0.000018, Data=0.000406, Phys=634.617148, Lambda=2.51e-09, LR=1.00e-04
Epoch 97: Train=0.000404, Val=0.000015, Data=0.000402, Phys=632.371662, Lambda=2.56e-09, LR=1.00e-04
Epoch 98: Train=0.000420, Val=0.000013, Data=0.000418, Phys=630.600206, Lambda=2.62e-09, LR=1.00e-04
Epoch 99: Train=0.000409, Val=0.000018, Data=0.000407, Phys=628.005375, Lambda=2.67e-09, LR=1.00e-04
Epoch 100: Train=0.000406, Val=0.000013, Data=0.000404, Phys=627.983380, Lambda=2.73e-09, LR=1.00e-04
Epoch 101: Train=0.000401, Val=0.000013, Data=0.000399, Phys=626.263714, Lambda=2.78e-09, LR=1.00e-04
Epoch 102: Train=0.000405, Val=0.000022, Data=0.000403, Phys=623.793458, Lambda=2.84e-09, LR=1.00e-04
Epoch 103: Train=0.000398, Val=0.000016, Data=0.000396, Phys=624.615865, Lambda=2.90e-09, LR=1.00e-04
Epoch 104: Train=0.000400, Val=0.000015, Data=0.000398, Phys=621.213323, Lambda=2.96e-09, LR=1.00e-04
Epoch 105: Train=0.000389, Val=0.000020, Data=0.000387, Phys=620.778207, Lambda=3.02e-09, LR=1.00e-04
Epoch 106: Train=0.000391, Val=0.000015, Data=0.000390, Phys=620.991272, Lambda=3.08e-09, LR=1.00e-04
Epoch 107: Train=0.000388, Val=0.000015, Data=0.000386, Phys=616.491810, Lambda=3.15e-09, LR=1.00e-04
Epoch 108: Train=0.000385, Val=0.000012, Data=0.000383, Phys=616.470349, Lambda=3.21e-09, LR=1.00e-04
Epoch 109: Train=0.000392, Val=0.000018, Data=0.000390, Phys=614.984148, Lambda=3.28e-09, LR=1.00e-04
Epoch 110: Train=0.000382, Val=0.000021, Data=0.000380, Phys=612.328322, Lambda=3.35e-09, LR=1.00e-04
Epoch 111: Train=0.000387, Val=0.000014, Data=0.000385, Phys=612.428963, Lambda=3.41e-09, LR=1.00e-04
Epoch 112: Train=0.000375, Val=0.000015, Data=0.000373, Phys=611.749318, Lambda=3.49e-09, LR=1.00e-04
Epoch 113: Train=0.000376, Val=0.000015, Data=0.000374, Phys=608.503069, Lambda=3.56e-09, LR=1.00e-04
Epoch 114: Train=0.000371, Val=0.000014, Data=0.000369, Phys=608.428435, Lambda=3.63e-09, LR=1.00e-04
Epoch 115: Train=0.000372, Val=0.000012, Data=0.000370, Phys=605.885228, Lambda=3.71e-09, LR=1.00e-04
Epoch 116: Train=0.000376, Val=0.000014, Data=0.000374, Phys=605.626359, Lambda=3.78e-09, LR=1.00e-04
Epoch 117: Train=0.000373, Val=0.000014, Data=0.000371, Phys=600.779415, Lambda=3.86e-09, LR=1.00e-04
Epoch 118: Train=0.000368, Val=0.000014, Data=0.000366, Phys=603.266928, Lambda=3.94e-09, LR=1.00e-04
Epoch 119: Train=0.000366, Val=0.000014, Data=0.000364, Phys=599.705490, Lambda=4.02e-09, LR=1.00e-04
Epoch 120: Train=0.000372, Val=0.000012, Data=0.000369, Phys=599.218703, Lambda=4.11e-09, LR=1.00e-04
Epoch 121: Train=0.000368, Val=0.000018, Data=0.000365, Phys=595.781361, Lambda=4.19e-09, LR=1.00e-04
Epoch 122: Train=0.000365, Val=0.000015, Data=0.000363, Phys=595.676235, Lambda=4.28e-09, LR=1.00e-04
Epoch 123: Train=0.000357, Val=0.000013, Data=0.000354, Phys=593.537988, Lambda=4.37e-09, LR=1.00e-04
Epoch 124: Train=0.000358, Val=0.000013, Data=0.000355, Phys=592.986898, Lambda=4.46e-09, LR=1.00e-04
Epoch 125: Train=0.000359, Val=0.000013, Data=0.000356, Phys=591.070277, Lambda=4.55e-09, LR=1.00e-04
Epoch 126: Train=0.000362, Val=0.000013, Data=0.000359, Phys=588.324208, Lambda=4.64e-09, LR=1.00e-04
Epoch 127: Train=0.000359, Val=0.000014, Data=0.000356, Phys=587.528037, Lambda=4.74e-09, LR=1.00e-04
Epoch 128: Train=0.000357, Val=0.000011, Data=0.000354, Phys=585.363147, Lambda=4.84e-09, LR=1.00e-04
Epoch 129: Train=0.000355, Val=0.000013, Data=0.000352, Phys=584.358781, Lambda=4.94e-09, LR=1.00e-04
Epoch 130: Train=0.000354, Val=0.000014, Data=0.000351, Phys=582.329383, Lambda=5.04e-09, LR=1.00e-04
Epoch 131: Train=0.000355, Val=0.000012, Data=0.000352, Phys=581.075192, Lambda=5.14e-09, LR=1.00e-04
Epoch 132: Train=0.000337, Val=0.000012, Data=0.000334, Phys=579.866142, Lambda=5.25e-09, LR=1.00e-04
Epoch 133: Train=0.000350, Val=0.000017, Data=0.000347, Phys=576.867719, Lambda=5.36e-09, LR=1.00e-04
Epoch 134: Train=0.000342, Val=0.000012, Data=0.000339, Phys=577.129988, Lambda=5.47e-09, LR=1.00e-04
Epoch 135: Train=0.000347, Val=0.000012, Data=0.000344, Phys=573.534647, Lambda=5.58e-09, LR=1.00e-04
Epoch 136: Train=0.000342, Val=0.000014, Data=0.000339, Phys=573.072882, Lambda=5.70e-09, LR=1.00e-04
Epoch 137: Train=0.000346, Val=0.000014, Data=0.000343, Phys=570.724262, Lambda=5.81e-09, LR=1.00e-04
Epoch 138: Train=0.000342, Val=0.000011, Data=0.000339, Phys=569.474054, Lambda=5.93e-09, LR=1.00e-04
Epoch 139: Train=0.000336, Val=0.000012, Data=0.000333, Phys=568.071423, Lambda=6.06e-09, LR=1.00e-04
Epoch 140: Train=0.000340, Val=0.000010, Data=0.000337, Phys=565.157369, Lambda=6.18e-09, LR=1.00e-04
Epoch 141: Train=0.000335, Val=0.000013, Data=0.000332, Phys=564.132421, Lambda=6.31e-09, LR=1.00e-04
Epoch 142: Train=0.000336, Val=0.000011, Data=0.000332, Phys=562.846837, Lambda=6.44e-09, LR=1.00e-04
Epoch 143: Train=0.000337, Val=0.000012, Data=0.000334, Phys=560.556231, Lambda=6.57e-09, LR=1.00e-04
Epoch 144: Train=0.000336, Val=0.000012, Data=0.000332, Phys=558.402623, Lambda=6.71e-09, LR=1.00e-04
Epoch 145: Train=0.000339, Val=0.000013, Data=0.000335, Phys=556.218438, Lambda=6.85e-09, LR=1.00e-04
Epoch 146: Train=0.000326, Val=0.000010, Data=0.000322, Phys=556.949111, Lambda=6.99e-09, LR=1.00e-04
Epoch 147: Train=0.000331, Val=0.000013, Data=0.000328, Phys=552.685994, Lambda=7.13e-09, LR=1.00e-04
Epoch 148: Train=0.000337, Val=0.000011, Data=0.000333, Phys=552.719610, Lambda=7.28e-09, LR=1.00e-04
Epoch 149: Train=0.000335, Val=0.000011, Data=0.000331, Phys=548.363232, Lambda=7.43e-09, LR=1.00e-04
Epoch 150: Train=0.000324, Val=0.000010, Data=0.000320, Phys=549.366924, Lambda=7.59e-09, LR=1.00e-04
Epoch 151: Train=0.000331, Val=0.000010, Data=0.000327, Phys=546.331099, Lambda=7.74e-09, LR=1.00e-04
Epoch 152: Train=0.000325, Val=0.000010, Data=0.000320, Phys=544.412031, Lambda=7.90e-09, LR=1.00e-04
Epoch 153: Train=0.000322, Val=0.000010, Data=0.000317, Phys=543.749443, Lambda=8.07e-09, LR=1.00e-04
Epoch 154: Train=0.000321, Val=0.000012, Data=0.000316, Phys=541.042250, Lambda=8.23e-09, LR=1.00e-04
Epoch 155: Train=0.000318, Val=0.000010, Data=0.000313, Phys=539.834581, Lambda=8.40e-09, LR=1.00e-04
Epoch 156: Train=0.000317, Val=0.000010, Data=0.000312, Phys=537.326029, Lambda=8.58e-09, LR=1.00e-04
Epoch 157: Train=0.000316, Val=0.000011, Data=0.000311, Phys=535.607168, Lambda=8.75e-09, LR=1.00e-04
Epoch 158: Train=0.000315, Val=0.000012, Data=0.000310, Phys=534.389876, Lambda=8.94e-09, LR=1.00e-04
Epoch 159: Train=0.000315, Val=0.000012, Data=0.000310, Phys=531.801757, Lambda=9.12e-09, LR=1.00e-04
