filename,source_x,source_y,PSNR_Mag
room_acoustic_data_room_3569.mat,5.0,2.823529411764706,16.02735837397077
room_acoustic_data_room_3570.mat,5.0,2.835294117647059,16.02735837397077
room_acoustic_data_room_3571.mat,5.0,2.847058823529412,16.02735837397077
room_acoustic_data_room_3572.mat,5.0,2.8588235294117648,16.02735837397077
room_acoustic_data_room_3573.mat,5.0,2.8705882352941177,16.02735837397077
room_acoustic_data_room_3574.mat,5.0,2.8823529411764706,16.02735837397077
room_acoustic_data_room_3575.mat,5.0,2.8941176470588235,16.02735837397077
room_acoustic_data_room_3576.mat,5.0,2.9058823529411764,16.02735837397077
room_acoustic_data_room_3577.mat,5.0,2.9176470588235293,16.02735837397077
room_acoustic_data_room_3578.mat,5.0,2.929411764705882,16.02735837397077
room_acoustic_data_room_3579.mat,5.0,2.9411764705882355,16.02735837397077
room_acoustic_data_room_3580.mat,5.0,2.9529411764705884,16.02735837397077
room_acoustic_data_room_3581.mat,5.0,2.9647058823529413,16.02735837397077
room_acoustic_data_room_3582.mat,5.0,2.976470588235294,16.02735837397077
room_acoustic_data_room_3583.mat,5.0,2.988235294117647,16.02735837397077
room_acoustic_data_room_3584.mat,5.0,3.0,16.02735837397077
room_acoustic_data_room_3585.mat,0.0,-2.0,16.02735837397077
room_acoustic_data_room_3586.mat,0.011764705882352941,-2.0,16.02735837397077
room_acoustic_data_room_3587.mat,0.023529411764705882,-2.0,16.02735837397077
room_acoustic_data_room_3588.mat,0.03529411764705882,-2.0,16.02735837397077
room_acoustic_data_room_3589.mat,0.047058823529411764,-2.0,16.02735837397077
room_acoustic_data_room_3590.mat,0.058823529411764705,-2.0,16.02735837397077
room_acoustic_data_room_3591.mat,0.07058823529411765,-2.0,16.02735837397077
room_acoustic_data_room_3592.mat,0.08235294117647059,-2.0,16.02735837397077
room_acoustic_data_room_3593.mat,0.09411764705882353,-2.0,16.02735837397077
room_acoustic_data_room_3594.mat,0.10588235294117647,-2.0,16.02735837397077
room_acoustic_data_room_3595.mat,0.11764705882352941,-2.0,16.02735837397077
room_acoustic_data_room_3596.mat,0.12941176470588237,-2.0,16.02735837397077
room_acoustic_data_room_3597.mat,0.1411764705882353,-2.0,16.02735837397077
room_acoustic_data_room_3598.mat,0.15294117647058825,-2.0,16.02735837397077
room_acoustic_data_room_3599.mat,0.16470588235294117,-2.0,16.02735837397077
room_acoustic_data_room_3600.mat,0.17647058823529413,-2.0,16.02735837397077
room_acoustic_data_room_3601.mat,0.18823529411764706,-2.0,16.02735837397077
room_acoustic_data_room_3602.mat,0.2,-2.0,16.02735837397077
room_acoustic_data_room_3603.mat,0.21176470588235294,-2.0,16.02735837397077
room_acoustic_data_room_3604.mat,0.2235294117647059,-2.0,16.02735837397077
room_acoustic_data_room_3605.mat,0.23529411764705882,-2.0,16.02735837397077
room_acoustic_data_room_3606.mat,0.24705882352941178,-2.0,16.02735837397077
room_acoustic_data_room_3607.mat,0.25882352941176473,-2.0,16.02735837397077
room_acoustic_data_room_3608.mat,0.27058823529411763,-2.0,16.02735837397077
room_acoustic_data_room_3609.mat,0.2823529411764706,-2.0,16.02735837397077
room_acoustic_data_room_3610.mat,0.29411764705882354,-2.0,16.02735837397077
room_acoustic_data_room_3611.mat,0.3058823529411765,-2.0,16.02735837397077
room_acoustic_data_room_3612.mat,0.3176470588235294,-2.0,16.02735837397077
room_acoustic_data_room_3613.mat,0.32941176470588235,-2.0,16.02735837397077
room_acoustic_data_room_3614.mat,0.3411764705882353,-2.0,16.02735837397077
room_acoustic_data_room_3615.mat,0.35294117647058826,-2.0,16.02735837397077
