Training started for V3b
============================================================
Epoch 106: Train=0.001148, Val=0.000075, Data=0.001145, Phys=639.503114, Lambda=5.41e-09, LR=1.00e-05
Epoch 107: Train=0.001129, Val=0.000066, Data=0.001125, Phys=640.516628, Lambda=5.58e-09, LR=1.00e-05
Epoch 108: Train=0.001120, Val=0.000075, Data=0.001116, Phys=641.700980, Lambda=5.75e-09, LR=1.00e-05
Epoch 109: Train=0.001116, Val=0.000061, Data=0.001112, Phys=639.049762, Lambda=5.93e-09, LR=1.00e-05
Epoch 110: Train=0.001097, Val=0.000061, Data=0.001093, Phys=641.353598, Lambda=6.12e-09, LR=1.00e-05
Epoch 111: Train=0.001093, Val=0.000070, Data=0.001089, Phys=640.315662, Lambda=6.31e-09, LR=1.00e-05
Epoch 112: Train=0.001090, Val=0.000068, Data=0.001086, Phys=640.212215, Lambda=6.51e-09, LR=1.00e-05
Epoch 113: Train=0.001070, Val=0.000060, Data=0.001065, Phys=638.990988, Lambda=6.71e-09, LR=1.00e-05
Epoch 114: Train=0.001069, Val=0.000059, Data=0.001064, Phys=640.858806, Lambda=6.92e-09, LR=1.00e-05
Epoch 115: Train=0.001059, Val=0.000060, Data=0.001054, Phys=638.921856, Lambda=7.13e-09, LR=1.00e-05
Epoch 116: Train=0.001055, Val=0.000063, Data=0.001051, Phys=637.809876, Lambda=7.36e-09, LR=1.00e-05
Epoch 117: Train=0.001041, Val=0.000065, Data=0.001036, Phys=640.828376, Lambda=7.59e-09, LR=1.00e-05
Epoch 118: Train=0.001036, Val=0.000056, Data=0.001031, Phys=639.433159, Lambda=7.82e-09, LR=1.00e-05
Epoch 119: Train=0.001013, Val=0.000061, Data=0.001008, Phys=639.657382, Lambda=8.07e-09, LR=1.00e-05
Epoch 120: Train=0.001012, Val=0.000059, Data=0.001007, Phys=641.373362, Lambda=8.32e-09, LR=1.00e-05
Epoch 121: Train=0.001015, Val=0.000060, Data=0.001010, Phys=638.920359, Lambda=8.58e-09, LR=1.00e-05
Epoch 122: Train=0.001009, Val=0.000052, Data=0.001003, Phys=636.954314, Lambda=8.84e-09, LR=1.00e-05
Epoch 123: Train=0.000997, Val=0.000053, Data=0.000991, Phys=640.366397, Lambda=9.12e-09, LR=1.00e-05
Epoch 124: Train=0.001008, Val=0.000058, Data=0.001002, Phys=638.628944, Lambda=9.40e-09, LR=1.00e-05
Epoch 125: Train=0.000998, Val=0.000048, Data=0.000992, Phys=639.001162, Lambda=9.70e-09, LR=1.00e-05
Epoch 126: Train=0.000979, Val=0.000055, Data=0.000973, Phys=637.631930, Lambda=1.00e-08, LR=1.00e-05
Epoch 127: Train=0.000976, Val=0.000056, Data=0.000969, Phys=638.241539, Lambda=1.03e-08, LR=1.00e-05
Epoch 128: Train=0.000969, Val=0.000051, Data=0.000962, Phys=637.671279, Lambda=1.06e-08, LR=1.00e-05
Epoch 129: Train=0.000962, Val=0.000052, Data=0.000955, Phys=638.275001, Lambda=1.10e-08, LR=1.00e-05
Epoch 130: Train=0.000954, Val=0.000053, Data=0.000947, Phys=640.652575, Lambda=1.13e-08, LR=1.00e-05
Epoch 131: Train=0.000947, Val=0.000057, Data=0.000940, Phys=636.571595, Lambda=1.17e-08, LR=1.00e-05
Epoch 132: Train=0.000940, Val=0.000046, Data=0.000932, Phys=638.082468, Lambda=1.20e-08, LR=1.00e-05
Epoch 133: Train=0.000934, Val=0.000047, Data=0.000926, Phys=638.831136, Lambda=1.24e-08, LR=1.00e-05
Epoch 134: Train=0.000929, Val=0.000052, Data=0.000921, Phys=637.425611, Lambda=1.28e-08, LR=1.00e-05
Epoch 135: Train=0.000927, Val=0.000051, Data=0.000919, Phys=636.759739, Lambda=1.32e-08, LR=1.00e-05
Epoch 136: Train=0.000926, Val=0.000052, Data=0.000918, Phys=636.683304, Lambda=1.36e-08, LR=1.00e-05
Epoch 137: Train=0.000931, Val=0.000047, Data=0.000922, Phys=637.190923, Lambda=1.40e-08, LR=1.00e-05
Epoch 138: Train=0.000935, Val=0.000057, Data=0.000926, Phys=636.715553, Lambda=1.45e-08, LR=1.00e-05
Epoch 139: Train=0.000920, Val=0.000051, Data=0.000911, Phys=635.824927, Lambda=1.49e-08, LR=1.00e-05
Epoch 140: Train=0.000910, Val=0.000048, Data=0.000900, Phys=636.112253, Lambda=1.54e-08, LR=1.00e-05
Epoch 141: Train=0.000905, Val=0.000050, Data=0.000895, Phys=635.903871, Lambda=1.58e-08, LR=1.00e-05
Epoch 142: Train=0.000906, Val=0.000040, Data=0.000895, Phys=636.195556, Lambda=1.63e-08, LR=1.00e-05
Epoch 143: Train=0.000901, Val=0.000057, Data=0.000890, Phys=637.140376, Lambda=1.69e-08, LR=1.00e-05
Epoch 144: Train=0.000890, Val=0.000046, Data=0.000879, Phys=635.709481, Lambda=1.74e-08, LR=1.00e-05
Epoch 145: Train=0.000882, Val=0.000042, Data=0.000871, Phys=634.813805, Lambda=1.79e-08, LR=1.00e-05
Epoch 146: Train=0.000886, Val=0.000041, Data=0.000875, Phys=635.566626, Lambda=1.85e-08, LR=1.00e-05
Epoch 147: Train=0.000882, Val=0.000044, Data=0.000870, Phys=633.436183, Lambda=1.91e-08, LR=1.00e-05
Epoch 148: Train=0.000878, Val=0.000044, Data=0.000866, Phys=635.796115, Lambda=1.96e-08, LR=1.00e-05
Epoch 149: Train=0.000877, Val=0.000045, Data=0.000864, Phys=634.618189, Lambda=2.03e-08, LR=1.00e-05
Epoch 150: Train=0.000861, Val=0.000038, Data=0.000848, Phys=635.420829, Lambda=2.09e-08, LR=1.00e-05
Epoch 151: Train=0.000849, Val=0.000046, Data=0.000835, Phys=635.346134, Lambda=2.15e-08, LR=1.00e-05
Epoch 152: Train=0.000858, Val=0.000039, Data=0.000844, Phys=632.237975, Lambda=2.22e-08, LR=1.00e-05
Epoch 153: Train=0.000844, Val=0.000039, Data=0.000830, Phys=634.535184, Lambda=2.29e-08, LR=1.00e-05
Epoch 154: Train=0.000849, Val=0.000040, Data=0.000834, Phys=634.170998, Lambda=2.36e-08, LR=1.00e-05
Epoch 155: Train=0.000846, Val=0.000040, Data=0.000830, Phys=633.908799, Lambda=2.44e-08, LR=1.00e-05
Epoch 156: Train=0.000847, Val=0.000039, Data=0.000831, Phys=632.240975, Lambda=2.51e-08, LR=1.00e-05
Epoch 157: Train=0.000840, Val=0.000038, Data=0.000823, Phys=631.690876, Lambda=2.59e-08, LR=1.00e-05
Epoch 158: Train=0.000840, Val=0.000042, Data=0.000823, Phys=634.267119, Lambda=2.67e-08, LR=1.00e-05
Epoch 159: Train=0.000846, Val=0.000034, Data=0.000829, Phys=632.873699, Lambda=2.75e-08, LR=1.00e-05
Epoch 160: Train=0.000822, Val=0.000034, Data=0.000804, Phys=630.210066, Lambda=2.84e-08, LR=1.00e-05
Epoch 161: Train=0.000837, Val=0.000043, Data=0.000818, Phys=632.463052, Lambda=2.93e-08, LR=1.00e-05
Epoch 162: Train=0.000816, Val=0.000035, Data=0.000797, Phys=632.000016, Lambda=3.02e-08, LR=1.00e-05
Epoch 163: Train=0.000825, Val=0.000044, Data=0.000805, Phys=630.862290, Lambda=3.11e-08, LR=1.00e-05
Epoch 164: Train=0.000816, Val=0.000039, Data=0.000796, Phys=630.704982, Lambda=3.21e-08, LR=1.00e-05
Epoch 165: Train=0.000803, Val=0.000037, Data=0.000782, Phys=631.418169, Lambda=3.31e-08, LR=1.00e-05
Epoch 166: Train=0.000815, Val=0.000034, Data=0.000794, Phys=630.679076, Lambda=3.41e-08, LR=1.00e-05
Epoch 167: Train=0.000814, Val=0.000032, Data=0.000792, Phys=630.496388, Lambda=3.52e-08, LR=1.00e-05
Epoch 168: Train=0.000811, Val=0.000036, Data=0.000788, Phys=630.168265, Lambda=3.63e-08, LR=1.00e-05
Epoch 169: Train=0.000800, Val=0.000036, Data=0.000777, Phys=629.733543, Lambda=3.74e-08, LR=1.00e-05
Epoch 170: Train=0.000800, Val=0.000034, Data=0.000775, Phys=628.786568, Lambda=3.86e-08, LR=1.00e-05
Epoch 171: Train=0.000808, Val=0.000032, Data=0.000783, Phys=630.291215, Lambda=3.98e-08, LR=1.00e-05
Epoch 172: Train=0.000794, Val=0.000035, Data=0.000769, Phys=628.719750, Lambda=4.11e-08, LR=1.00e-05
Epoch 173: Train=0.000797, Val=0.000029, Data=0.000770, Phys=626.294498, Lambda=4.23e-08, LR=1.00e-05
Epoch 174: Train=0.000791, Val=0.000032, Data=0.000764, Phys=629.251691, Lambda=4.37e-08, LR=1.00e-05
Epoch 175: Train=0.000799, Val=0.000033, Data=0.000771, Phys=626.507505, Lambda=4.50e-08, LR=1.00e-05
